airline,year,carrier_delay,weather_delay,nas_delay,security_delay,late_ac_delay,total_flights
Alaska Airlines Inc,2019,2.526,0.236,3.407,0.026,3.288,26698
Alaska Airlines Inc,2022,3.302,0.48,2.779,0.061,3.722,22694
Alaska Airlines Inc,2023,3.214,0.403,2.914,0.053,4.194,16635
Allegiant Air,2019,4.716,1.281,1.973,0.028,5.731,10729
Allegiant Air,2022,6.928,1.287,4.626,0.053,10.501,11562
Allegiant Air,2023,6.968,2.56,5.35,0.054,9.481,8023
American Airlines Inc,2019,4.652,0.773,3.127,0.015,5.624,94391
American Airlines Inc,2022,6.344,0.841,2.491,0.034,7.082,85962
American Airlines Inc,2023,7.579,1.041,3.007,0.046,11.094,62986
Delta Air Lines Inc,2019,3.553,0.689,2.742,0.009,3.056,101044
Delta Air Lines Inc,2022,5.46,0.477,1.871,0.01,2.835,89675
Delta Air Lines Inc,2023,7.096,0.778,2.412,0.011,4.326,65907
Endeavor Air Inc,2019,3.282,0.599,3.606,0.001,5.65,25715
Endeavor Air Inc,2022,4.379,0.808,3.261,0.004,4.286,22611
Endeavor Air Inc,2023,3.789,1.123,2.962,0.0,4.454,13362
Envoy Air,2019,3.124,1.142,3.53,0.013,5.429,32045
Envoy Air,2022,3.066,1.385,2.224,0.028,3.677,24760
Envoy Air,2023,2.947,1.186,2.835,0.038,4.629,14795
ExpressJet Airlines LLC d/b/a aha!,2019,6.735,1.098,8.35,0.0,6.505,13065
Frontier Airlines Inc,2019,4.815,0.294,4.357,0.0,8.544,13690
Frontier Airlines Inc,2022,7.731,0.554,4.762,0.0,9.913,15362
Frontier Airlines Inc,2023,8.757,0.76,5.242,0.0,14.19,11112
Hawaiian Airlines Inc,2019,2.918,0.152,0.075,0.037,1.35,8553
Hawaiian Airlines Inc,2022,5.699,0.395,0.251,0.028,4.507,7576
Hawaiian Airlines Inc,2023,7.173,0.269,0.837,0.034,5.868,5452
Horizon Air,2022,2.931,0.676,1.441,0.049,3.757,8979
JetBlue Airways,2019,6.91,0.493,4.641,0.027,8.456,29910
JetBlue Airways,2022,11.173,0.574,4.589,0.043,9.314,26649
JetBlue Airways,2023,10.483,0.776,4.73,0.034,11.502,18706
Mesa Airlines Inc,2019,5.733,1.561,2.353,0.019,7.698,22514
Mesa Airlines Inc,2022,7.807,1.046,2.085,0.014,5.487,11148
PSA Airlines Inc,2019,3.47,0.744,2.178,0.018,6.886,28663
PSA Airlines Inc,2022,4.091,1.021,2.416,0.018,6.213,21197
PSA Airlines Inc,2023,3.933,1.402,2.366,0.044,5.762,12897
Republic Airline,2019,2.749,0.7,5.046,0.006,4.957,32763
Republic Airline,2022,3.954,0.654,3.862,0.009,4.967,30684
Republic Airline,2023,2.584,0.762,3.623,0.017,3.367,19974
SkyWest Airlines Inc,2019,5.421,1.295,2.904,0.016,5.748,83266
SkyWest Airlines Inc,2022,8.331,1.802,0.425,0.025,2.956,73783
SkyWest Airlines Inc,2023,7.256,2.078,0.812,0.04,3.058,44280
Southwest Airlines Co,2019,3.05,0.259,1.529,0.043,4.305,135727
Southwest Airlines Co,2022,4.365,0.261,1.644,0.044,6.198,129287
Southwest Airlines Co,2023,3.241,0.312,2.146,0.033,6.413,94720
Spirit Air Lines,2019,2.913,0.585,5.814,0.029,3.925,20493
Spirit Air Lines,2022,4.863,0.746,5.941,0.107,4.855,22855
Spirit Air Lines,2023,7.145,1.173,9.436,0.189,6.46,17197
United Air Lines Inc,2019,3.305,0.96,4.896,0.001,6.438,62830
United Air Lines Inc,2022,4.763,0.66,2.663,0.001,5.67,62978
United Air Lines Inc,2023,5.945,0.709,3.726,0.001,7.361,48368
